derived_id,value,unit,formula,scope,source
D2.delta_RMSE_range,"[-0.000834, -0.000273]",,"min/max over four splits of RMSE_LC(C0R) - RMSE_LC(C1), seed 42",Table 3.2,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table3_training_mechanism.csv
D2.n_splits_C0R_lower_RMSE,4,,count of splits where C0R has the lower RMSE_LC (of 4),Table 3.2,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table3_training_mechanism.csv
D3.ratio_range[IID2856],"[0.992329, 1.023419]",,min/max of composed/direct pooled MSE ratio over the nine held-out partitions,"Table 6A, IID2856",/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6A_leaveout_partitions.csv
D3.n_within_tol[IID2856],9/9,,count of partitions with ratio <= 1.05 (MSE ratio gate),Table 6A,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6A_leaveout_partitions.csv
D3.ratio_range[dev476],"[1.00052, 1.027497]",,min/max of composed/direct pooled MSE ratio over the nine held-out partitions,"Table 6A, dev476",/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6A_leaveout_partitions.csv
D3.n_within_tol[dev476],9/9,,count of partitions with ratio <= 1.05 (MSE ratio gate),Table 6A,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6A_leaveout_partitions.csv
D4.pct_vs_D20_full_suffix[A],"[-0.6179, 0.5875]",%,"100*(pooled RMSE_cond / pooled RMSE_D20 - 1) over four splits, full suffix scope 1..10",Table 6B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6B_common_suffix.csv
D4.pct_vs_D20_full_suffix[B],"[-0.2499, 0.3933]",%,"100*(pooled RMSE_cond / pooled RMSE_D20 - 1) over four splits, full suffix scope 1..10",Table 6B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6B_common_suffix.csv
D4.pct_vs_D20_full_suffix[donor],"[1.4517, 6.4225]",%,"100*(pooled RMSE_cond / pooled RMSE_D20 - 1) over four splits, full suffix scope 1..10",Table 6B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6B_common_suffix.csv
D4.donor_excess_pct_vs_D20[iid],6.4227,%,"100*(pooled RMSE_donor / pooled RMSE_D20 - 1), full suffix scope","Table 6B, iid",/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6B_common_suffix.csv
D4.donor_excess_pct_vs_D20[ood_s],3.7575,%,"100*(pooled RMSE_donor / pooled RMSE_D20 - 1), full suffix scope","Table 6B, ood_s",/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6B_common_suffix.csv
D4.donor_excess_pct_vs_D20[ood_st],1.4517,%,"100*(pooled RMSE_donor / pooled RMSE_D20 - 1), full suffix scope","Table 6B, ood_st",/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6B_common_suffix.csv
D4.donor_excess_pct_vs_D20[ood_t],4.1777,%,"100*(pooled RMSE_donor / pooled RMSE_D20 - 1), full suffix scope","Table 6B, ood_t",/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table6B_common_suffix.csv
D5.main_weighting_rows,8,,rows using the pre-declared main weighting (receiver equal weight),Table 4B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table4B_state_intervention_corrected.csv
D5.main_weighting_ci_above_zero,8/8,,count of main-weighting rows whose 95% CI lower bound exceeds zero,Table 4B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table4B_state_intervention_corrected.csv
D5.sensitivity_rows_ci_above_zero,15/16,,count of sensitivity-weighting rows whose 95% CI lower bound exceeds zero (the single exception is named in the narrative),Table 4B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table4B_state_intervention_corrected.csv
D5.main_weighting_full_suffix_ci_above_zero,4/4,,"main weighting, full suffix scope 1..10, four splits",Table 4B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table4B_state_intervention_corrected.csv
D5.rows_not_above_zero,1,,"rows whose 95% CI is not strictly above zero, with split/scope/estimand named",Table 4B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_showcase_20260912T062326Z/tables/Table4B_state_intervention_corrected.csv
D6.ratio[B=1],1.0,x,"reencode(B)/reuse(B); history_encoding=29.47ms, shared_prefix=0.39ms, suffix_per_branch=0.41ms (pure compute)",Table 7.3b cost model,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table7_efficiency_state_reuse.csv
D6.ratio[B=2],1.9733,x,"reencode(B)/reuse(B); history_encoding=29.47ms, shared_prefix=0.39ms, suffix_per_branch=0.41ms (pure compute)",Table 7.3b cost model,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table7_efficiency_state_reuse.csv
D6.ratio[B=4],3.8438,x,"reencode(B)/reuse(B); history_encoding=29.47ms, shared_prefix=0.39ms, suffix_per_branch=0.41ms (pure compute)",Table 7.3b cost model,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table7_efficiency_state_reuse.csv
D6.ratio[B=8],7.3072,x,"reencode(B)/reuse(B); history_encoding=29.47ms, shared_prefix=0.39ms, suffix_per_branch=0.41ms (pure compute)",Table 7.3b cost model,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table7_efficiency_state_reuse.csv
D6.hash_share_of_adapter_gap,89.86,%,100*(10 calls * 33.35ms model_hash) / 371.15ms adapter end-to-end median,Table 7.3d,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table7_efficiency_state_reuse.csv
